step,energy,new_energy,time,accept
0,-1102.979517944378,-1102.9794326968602,69.315562,False
1,-1102.979517944378,-1102.9794326968597,79.1201259,False
2,-1102.979517944378,-1102.9794326968602,86.5396455,False
3,-1102.979517944378,-1102.9794326968602,94.1275218,False
4,-1102.979517944378,-1102.9794326968592,105.0663823,False
5,-1102.979517944378,-1102.9794326968606,112.1911513,False
6,-1102.979517944378,-1102.9794326968606,118.0576654,False
7,-1102.979517944378,-1102.9794326968606,123.9660254,False
8,-1102.979517944378,-1102.9794326968597,130.4790384,False
9,-1102.979517944378,-1102.9794326968592,138.4104043,False
10,-1102.979517944378,-1102.9794326968592,147.3950714,False
11,-1102.979517944378,-1102.9794326968597,153.3359212,False
12,-1102.979517944378,-1102.9794326968606,159.3258744,False
13,-1102.979517944378,-1102.9794326968597,165.3437561,False
14,-1102.979517944378,-1102.9794326968606,171.2805034,False
15,-1102.979517944378,-1102.9794326968592,177.1760035,False
16,-1102.979517944378,-1102.9794326968602,183.086066,False
17,-1102.979517944378,-1102.9794326968592,188.9332514,False
18,-1102.979517944378,-1102.9794326968606,196.4653611,False
19,-1102.979517944378,-1102.9794326968602,204.0252437,False
20,-1102.979517944378,-1102.9794326968602,211.012874,False
21,-1102.979517944378,-1102.9794326968602,217.6902353,False
22,-1102.979517944378,-1102.9794326968606,224.2782845,False
23,-1102.979517944378,-1102.9794326968606,234.1702448,False
24,-1102.979517944378,-1102.9794326968602,242.2097242,False
25,-1102.979517944378,-1102.9794326968606,249.8076212,False
26,-1102.979517944378,-1102.9794326968592,256.3144744,False
27,-1102.979517944378,-1102.9794326968602,262.6952527,False
28,-1102.979517944378,-1102.9794326968602,269.2073984,False
29,-1102.979517944378,-1102.97943269686,275.8924834,False
30,-1102.979517944378,-1102.9794326968606,282.1938528,False
31,-1102.979517944378,-1102.9794326968606,288.1255129,False
32,-1102.979517944378,-1102.9794326968606,294.3552822,False
33,-1102.979517944378,-1102.9794326968606,300.3203124,False
34,-1102.979517944378,-1102.9794326968606,306.3489225,False
35,-1102.979517944378,-1102.9794326968602,312.6059774,False
36,-1102.979517944378,-1102.9794326968606,319.3472513,False
37,-1102.979517944378,-1102.9794326968602,325.606421,False
38,-1102.979517944378,-1102.9794326968606,331.6338044,False
39,-1102.979517944378,-1102.9794326968602,337.8764,False
40,-1102.979517944378,-1102.9794326968592,344.8884933,False
41,-1102.979517944378,-1102.9794326968606,351.196691,False
42,-1102.979517944378,-1102.9794326968592,357.6037545,False
43,-1102.979517944378,-1102.9794326968602,363.5863647,False
44,-1102.979517944378,-1102.9794326968606,369.9741976,False
45,-1102.979517944378,-1102.9794326968597,376.4258987,False
46,-1102.979517944378,-1102.9794326968606,382.4926644,False
47,-1102.979517944378,-1102.9794326968606,388.6753466,False
48,-1102.979517944378,-1102.9794326968606,395.1568535,False
49,-1102.979517944378,-1102.9794326968606,402.0823365,False
50,-1102.979517944378,-1102.9794326968606,408.8128419,False
51,-1102.979517944378,-1102.9794326968606,415.0648587,False
52,-1102.979517944378,-1102.9794326968597,422.211255,False
53,-1102.979517944378,-1102.9794326968606,429.7204844,False
54,-1102.979517944378,-1102.9794326968602,438.8674793,False
55,-1102.979517944378,-1102.9794326968602,447.1537048,False
56,-1102.979517944378,-1102.9794326968597,455.1261017,False
57,-1102.979517944378,-1102.97943269686,462.5560166,False
58,-1102.979517944378,-1102.9794326968606,468.7959848,False
59,-1102.979517944378,-1102.97943269686,474.7239187,False
60,-1102.979517944378,-1102.9794326968597,480.677267,False
61,-1102.979517944378,-1102.9794326968602,486.5717973,False
62,-1102.979517944378,-1102.9794326968606,492.494641,False
63,-1102.979517944378,-1102.9794326968606,499.8392442,False
